Data;Dia Semana;Semana;Tamanho Backlog;Canceled;Done;Ready to Pub (Prod);Published in Test;Ready to Pub (Test);Code Review;On Hold;Blocked;In Dev;To Do;Ready for Dev;Bloqueado Backlog;In Refinement;Open;Closed_Qt;WIP_Qt;New_Arrival;TC_Dia;TC_Media;Dif_Dias
01/11/2019;6;44;1173;73;1009;21;1;0;3;3;3;4;8;0;0;2;46;3;35;7;11,7;11,7;152
04/11/2019;2;45;1189;73;1033;3;0;0;4;6;2;3;11;0;0;2;52;24;18;16;0,8;6,2;149
05/11/2019;3;45;1208;73;1038;5;0;1;3;2;2;5;13;0;0;11;55;5;18;19;3,6;5,3;148
06/11/2019;4;45;1225;74;1047;1;1;7;9;2;2;3;20;0;0;3;56;10;25;17;2,5;4,6;147
07/11/2019;5;45;1229;74;1056;1;0;7;7;2;2;6;21;0;0;1;52;9;25;4;2,8;4,3;146
08/11/2019;6;45;1242;76;1076;1;2;0;3;2;2;5;15;6;0;1;53;22;15;13;0,7;2,1;145
11/11/2019;2;46;1248;77;1081;2;2;0;4;1;2;5;11;8;0;1;54;6;16;6;2,7;2,4;142
12/11/2019;3;46;1258;77;1087;4;0;0;3;2;4;10;7;9;0;1;54;6;23;10;3,8;2,5;141
13/11/2019;4;46;1262;77;1093;3;0;0;10;1;4;5;7;8;0;1;53;6;23;4;3,8;2,8;140
14/11/2019;5;46;1263;78;1093;3;0;1;13;1;5;3;6;9;0;1;50;1;26;1;26,0;7,4;139
18/11/2019;2;47;1268;80;1106;2;8;4;4;6;3;4;7;4;0;0;40;15;31;5;2,1;7,7;135
19/11/2019;3;47;1290;81;1118;9;4;0;1;8;2;6;8;5;0;13;35;13;30;22;2,3;7,6;134
20/11/2019;4;47;1297;82;1129;9;2;0;1;10;2;4;3;6;0;18;31;12;28;7;2,3;7,3;133
21/11/2019;5;47;1301;82;1132;10;1;1;3;11;2;4;2;4;0;19;30;3;32;4;10,7;8,7;132
22/11/2019;6;47;1308;82;1148;0;0;1;2;12;2;4;2;13;0;12;30;16;21;7;1,3;3,7;131
25/11/2019;2;48;1316;97;1153;0;0;2;3;10;5;3;6;7;0;13;17;20;23;8;1,2;3,6;128
26/11/2019;3;48;1324;98;1159;0;0;2;2;8;2;5;11;8;0;11;18;7;19;8;2,7;3,6;127
27/11/2019;4;48;1331;98;1163;0;0;6;5;9;1;4;10;8;0;8;19;4;25;7;6,3;4,4;126
28/11/2019;5;48;1333;98;1168;0;0;4;3;9;1;4;11;8;0;8;19;5;21;2;4,2;3,1;125
29/11/2019;6;48;1343;100;1176;0;4;2;3;9;2;2;9;10;0;8;18;10;22;10;2,2;3,3;124
02/12/2019;2;49;1347;101;1181;2;6;0;3;3;7;4;7;9;0;8;16;6;25;4;4,2;3,9;121
03/12/2019;3;49;1355;101;1184;2;7;3;2;3;4;10;5;9;0;8;17;3;31;8;10,3;5,4;120
04/12/2019;4;49;1377;102;1196;2;5;1;4;4;3;6;6;9;0;8;31;13;25;22;1,9;4,6;119
05/12/2019;5;49;1385;102;1205;2;7;0;1;5;4;7;7;8;0;8;29;9;26;8;2,9;4,3;118
